hotelName,hotelAddress,Street,City,hotelDescription,pricePerNight,scoreGeneral,scoreValueForMoney,scoreLocation,scoreClean,distanceTlv
Gallerita,"הרחבה, Manot",הרחבה,Manot,"Set in Manot, גלריתא offers accommodation with a private pool, a balcony and sea views. Featuring pool and garden views, this holiday home also features free WiFi.The air-conditioned holiday home consists of 1 bedroom, a living room, a fully …Read more",800.0,9.4,9.0,9.6,9.2,
cozy room,"Nahal Reim Street, Mitzpe Ramon",Nahal Reim Street,Mitzpe Ramon,"Cozy room is set in Mitzpe Ramon. This property offers access to a terrace and free private parking.With 1 bedroom and 1 bathroom, this apartment comes with a flat-screen TV. Towels and bed linen are featured in the apartment.The nearest airport …Read more",252.0,8.0,8.2,8.7,8.4,163.2
Vitrage Guest House,"St 6083 House 4, Nazareth",St 6083 House 4,Nazareth,"Set in the heart of Nazareth, Vitrage Guest House offers air-conditioned rooms and dormitories with free Wi-Fi, a private garden area and a rooftop terrace with panoramic views of Nazareth. It serves complimentary Arabic breakfast made from fresh …Read more",350.0,8.6,8.7,8.9,8.5,84.6
Talpiot Guest House,"He-Khaluts 35, Haifa",He-Khaluts 35,Haifa,"Located 1 km from the Baháí Gardens and Temple, the Talpiot Guest House offers free WiFi throughout. Its air-conditioned studios and rooms come with a kitchenette with fridge.The rooms and studios at the Talpiot Guest House are decorated in …Read more",315.0,10.0,10.0,9.4,9.4,84.7
The Pearl of the Golan - Pnina BaGolan,"Had Nes, Had Nes",Had Nes,Had Nes,"Featuring a large yard with a shared outdoor pool and sun loungers, The Pearl of the Golan - Pnina BaGolan is located in Had Nes. Free Wi-Fi access is available in this lodge.All accommodation units are air-conditioned and come with furnished …Read more",943.0,8.8,8.4,9.2,8.9,
Lago Hotel,"6 Yokhanan Ben Zakai St. corner of Yarden St., Tiberias",6 Yokhanan Ben Zakai St. corner of Yarden St.,Tiberias,"Located 800 m from the Sea of Galilee, Lago Hotel is located in Tiberias and provides air-conditioned accommodation with free WiFi access. Natural mineral hot springs can be found in the centre of Tiberias.Rooms here come equipped with a flat-screen …Read more",527.0,7.5,7.7,8.4,7.8,105.4
Jerusalem Tower Hotel,"23 Hillel Street, Jerusalem",23 Hillel Street,Jerusalem,"The Jerusalem Tower Hotel is located in the city centre, in easy walking distance from the major historical and holy sites of the city, as well as shopping and entertainment areas.The rooms all have private bathroom, direct dial telephone, air …Read more",427.0,6.8,8.8,9.3,9.2,53.8
אל המעיין- נופש בקיבוץ הגושרים,"hagoshrim, Hagoshrim",hagoshrim,Hagoshrim,"Set in Hagoshrim, 10 km from The Banias Waterfall and 45 km from Israel Bible Museum, אל המעיין- נופש בקיבוץ הגושרים offers a garden and air conditioning. Both free WiFi and parking on-site are accessible at the holiday home free of charge. The …Read more",900.0,9.0,9.2,9.2,10.0,149.4
Villa Cana,"Church street, PO. Box 1597 3, Kafr Kannā",Church street,Kafr Kanna,"Villa Cana, a property with a garden and a bar, is located in Kafr Kannā, 42 km from Haifa’s Municipal Theater, 43 km from The Bahá’í Gardens in Akko, as well as 7.3 km from St. Gabriels Church. This property offers access to a terrace and free …Read more",900.0,8.7,8.8,9.3,9.2,91.7
וילה בגליל אביב בבקתה ובית גני,"Oshrat 25243, Oshrat",Oshrat 25243,Oshrat,"Situated in Oshrat and only 14 km from The Bahá’í Gardens in Akko, וילה בגליל אביב בבקתה ובית גני features accommodation with pool views, free WiFi and free private parking. This apartment has a saltwater pool and a garden. The property is non-smoking …Read more",1755.0,9.6,10.0,9.6,10.0,
אצלנו בחצר,"מחוז הצפון, אבני איתן, 12925, Avnei Eitan",מחוז הצפון,Avnei Eitan,"Situated in Avnei Eitan, 43 km from Marina and 43 km from The Scots Church, אצלנו בחצר features accommodation with free WiFi, air conditioning, a garden and a terrace.Some of the units have a cable flat-screen TV, a fully equipped kitchenette …Read more",850.0,9.6,9.4,9.6,9.9,
Eden Boutique Rooms in Front of The Walls,"HaAyin Het St 21, Jerusalem",HaAyin Het St 21,Jerusalem,"Situated in Jerusalem, 1.7 km from Garden of Gethsemane and less than 1 km from the centre, Eden Boutique Rooms in Front of The Walls features air-conditioned accommodation with free WiFi, and a shared lounge.A fridge and microwave are also …Read more",340.0,8.4,8.4,9.6,8.5,53.8
Hanahala Beramot - Boutique Suites,"רמות 75, Moshav Ramot",רמות 75,Moshav Ramot,"Featuring lake views, Hanahala Beramot - Boutique Suites offers accommodation with balcony, around 24 km from Mt of Beatitudes. This property offers access to a terrace, tennis at the tennis court, free private parking and free WiFi. Every room …Read more",1154.0,9.7,9.0,9.8,9.8,
Leonardo Plaza Hotel Jerusalem,"1 Ha-Rav Avida, Jerusalem",1 Ha-Rav Avida,Jerusalem,"The Leonardo Plaza Hotel Jerusalem is a 15-minute walk  from the Old City. It offers a spa, an outdoor swimming pool with city views, and elegant spacious rooms with free WiFi. The gourmet cuisine here is Glatt Kosher.The property is located …Read more",1402.0,7.6,7.1,9.0,7.6,53.8
Cozy wood apartment with great view to Nazareth,"1 Marj Ibn Amer Street, Nazareth",1 Marj Ibn Amer Street,Nazareth,"Cozy wood apartment with great view to Nazareth, a property with a shared lounge and a terrace, is situated in Nazareth, 42 km from The Bahá’í Gardens in Akko, 1.4 km from The Church of the Annunciation, as well as 1.5 km from Nazareth Old City. …Read more",528.0,9.7,9.8,9.2,9.9,84.6
Zimmerke,"Bruchim Qela Alon, Ramat Hagolan, Bruchim Qela Alon",Bruchim Qela Alon,Bruchim Qela Alon,"Offering an outdoor pool and hot tub, Zimmerke is located in Bruchim Qela Alon in the North District Israel Region. The accommodation is air conditioned and boasts a spa bath. Tiberias is 41 km away. Free WiFi is featured throughout the property …Read more",750.0,9.7,9.6,9.8,10.0,
Sea view apartment on the beach,"75 Ha-Aliya Street, Nahariyya",75 Ha-Aliya Street,Nahariyya,"Situated in Nahariyya, 700 m from HaDekel Beach and 1.8 km from Galei Galil Beach, Sea view apartment on the beach offers a garden and air conditioning. This beachfront property offers access to a balcony, free private parking and free WiFi. Haifa’s …Read more",510.0,10.0,10.0,10.0,10.0,
King David 19 Apartment - Isrentals,"King David 19, Jerusalem",King David 19,Jerusalem,"Set in Jerusalem with Western Wall nearby, King David 19 Apartment - Isrentals offers accommodation with free WiFi and free private parking, as well as access to an indoor swimming pool.Some units come with air conditioning, a flat-screen TV, …Read more",796.0,6.9,8.8,9.3,9.2,53.8
Crimson View,"Gamla Street, Moshav Ramot",Gamla Street,Moshav Ramot,"With views of the Sea of Galilee and a hot tub, Ramot Hospitality offers accommodation with free WiFi in Moshav Ramot. The lodge is 7 km from Ha Yarden Park.There is a dining area and a kitchenette. Towels and bed linen are provided in this …Read more",799.0,9.4,9.4,9.7,9.4,
Herods Vitalis Spa Hotel Eilat a Premium collection by Fattal Hotels,"Derech Hayam 8, Eilat",Derech Hayam 8,Eilat,"Part of the Herods Hotels & Spa Complex, Herods Vitalis is a luxury hotel on the shores of the Red Sea in Eilat. Strictly adults only, it offers indoor and outdoor pools and a wellness centre with gym.Rooms at this 5-star superior hotel are …Read more",1395.0,9.1,8.2,9.4,9.0,281.8
Central Laguardia Hotel,"La Guardia St. 9, Tel Aviv",La Guardia St. 9,Tel Aviv,"Located in the centre of Tel Aviv, Central Laguardia Hotel provides air-conditioned accommodation with free WiFi access. The Carmel Market is 2.3 km away, while the picturesque Tel Aviv Old Town is 3.5 km away from the property.Rooms here come …Read more",252.0,6.3,8.8,9.3,9.2,0.0
Bait Alfa Kibbutz Country Lodging,"Ha-Yedidut St 3, Bet Alfa",Ha-Yedidut St 3,Bet Alfa,"Offering a garden with hammocks and a childrens playground, Bait Alfa Kibbutz Country Lodging is located in Bet Alfa. Tiberias is 32 km from the property. Free WiFi is offered throughout the property.Some units also have a kitchenette, fitted …Read more",551.0,7.5,7.5,8.6,7.8,
Rina House,"18 הדס, Karmiel",18 הדס,Karmiel,"Located in Karmiel, 43 km from Haifa’s Municipal Theater, 24 km from The Old City of Akko and 31 km from Train Station Nahariyya, Rina House provides accommodation with a balcony and free WiFi. Set 23 km from The Bahá’í Gardens in Akko, the property …Read more",308.0,8.8,9.0,8.8,9.0,102.7
Luxury Apartments,"Expansion Midrach Oz, Midrakh Oz",Expansion Midrach Oz,Midrakh Oz,"Situated in Midrakh Oz and only 31 km from Haifa’s Municipal Theater, Luxury Apartments features accommodation with mountain views, free WiFi and free private parking. With lake views, this accommodation provides a balcony.The air-conditioned …Read more",1063.0,9.8,9.8,9.8,9.8,67.4
GREEN VACATION,"9888, Bet Hillel",9888,Bet Hillel,"Located in Bet Hillel in the North District Israel region and The Banias Waterfall reachable within 12 km, GREEN VACATION provides accommodation with free WiFi, a childrens playground, a garden and free private parking. The accommodation features …Read more",807.0,8.6,8.5,9.3,9.0,
Tzefania Hotel,"Tsfanya 4 street, Jerusalem",Tsfanya 4 street,Jerusalem,"Situated in Jerusalem and with Garden of Gethsemane reachable within 3.1 km, Tzefania Hotel features concierge services, non-smoking rooms, a garden, free WiFi throughout the property and a terrace. The property is located 3.1 km from Church of …Read more",355.0,8.6,8.5,8.2,8.9,53.8
Suite- Studio- Zimmer,"Moshe Dayan 16, Bet Shean",Moshe Dayan 16,Bet Shean,"Located in Bet Shean in the North District Israel region and Ajloun Castle reachable within 45 km, Suite- Studio- Zimmer provides accommodation with free WiFi, BBQ facilities, a garden and free private parking.The bed and breakfast provides …Read more",500.0,7.4,8.8,9.3,9.2,
Herods Palace Hotels & Spa Eilat a Premium collection by Fattal Hotels,"Derech Hayam 6, Eilat",Derech Hayam 6,Eilat,"Offering spacious, modern rooms with sea or mountain views, Herods Palace is a seafront hotel located on Eilat’s North Beach, in the Hotel Area of town. It features an Arabesque pool area and a large spa.Rooms at the Herods Palace Hotels & Spa …Read more",1450.0,8.8,8.3,9.4,8.8,281.8
Zimmer Dora,"Neve Zohar 102-103, Neve Zohar",Neve Zohar 102-103,Neve Zohar,"Overlooking the Dead Sea, Zimmer Dora has a quiet location in Neve Zohar. It provides free parking and rooms with free Wi-Fi, a kitchenette and a furnished patio with BBQ.All rooms are air conditioned and come with a sofa and LCD TV with cable …Read more",393.0,7.6,7.8,8.1,8.3,117.1
The Rothschild Hotel - Tel Aviv's Finest,"96 Rothschild Blvd. , Tel Aviv",96 Rothschild Blvd. ,Tel Aviv,"Located in an iconic building on trendy Rothschild Boulevard, The Rothschild Hotel - Tel Avivs Finest offers modern rooms with espresso machine and free Wi-Fi. The famous Shenkin shopping street is a 2-minute walk away.Luxury rooms at the Rothschild …Read more",986.0,7.8,7.3,9.3,8.7,0.0
21st Floor Hotel,"Ben Yehuda St. 34, Jerusalem",Ben Yehuda St. 34,Jerusalem,"Located in the heart of Jerusalem, 21st Floor Hotel offers modern self-catering accommodation with free WiFi and panoramic views of the city. The Western Wall is 3 km away.The air-conditioned apartments feature a kitchenette, a seating area, …Read more",849.0,8.6,8.3,9.5,8.4,53.8
Jerusalem Gate Hotel,"43 Yirmiyahu Street, Jerusalem",43 Yirmiyahu Street,Jerusalem,"Jerusalem Gate Hotel is conveniently located at the entrance of the Holy City, within easy walking distance of the central bus station. The Old City and the historic Jerusalem city centre are just a 15-minute bus ride or train ride away.Hotel …Read more",656.0,7.1,8.8,9.3,9.2,53.8
art room,"Arhava 230, Midrakh Oz",Arhava 230,Midrakh Oz,"Situated in Midrakh Oz, 32 km from Haifa’s Municipal Theater and 46 km from The Bahá’í Gardens in Akko, art room offers a garden and air conditioning. This property offers access to a terrace, free private parking and free WiFi. St. Gabriels …Read more",400.0,9.2,9.3,9.5,9.6,67.4
Khan Ein Karem Boutique Hotel,"26 Madregot Hakfar st.Ein Karem, Jerusalem",26 Madregot Hakfar st.Ein Karem,Jerusalem,"Conveniently set in the Ein Karem district of Jerusalem, Khan Ein Karem Boutique Hotel is situated 10 km from Western Wall, 10 km from Garden of Gethsemane and 10 km from Church of All Nations. The property is set 10 km from Dome of the Rock, …Read more",957.0,9.4,8.8,9.2,9.7,53.8
Beit Elfarasha,"הבהאים 49, Akko",הבהאים 49,Akko,"Located in Akko in the North District Israel region, with Akko Beach and The Old City of Akko nearby, Beit Elfarasha provides accommodation with free WiFi.Every unit features a private bathroom and shower, air conditioning, a flat-screen TV …Read more",770.0,9.6,9.5,9.8,9.9,
Allenby2 B&B,"Allenby Square 2, Jerusalem",Allenby Square 2,Jerusalem,"Featuring free Wi-Fi access throughout, Allenby 2 B&B offers rooms and self-catering apartments in Jerusalem. All locations are within a 10-minute walk of the Sacher Park.With air conditioning, each accommodation is equipped with a satellite …Read more",361.0,7.9,7.9,8.9,8.0,53.8
Galilee Gali,"18 חבצלת, Kefar Weradim",18 חבצלת,Kefar Weradim,"Located in Kefar Weradim, 30 km from The Bahá’í Gardens in Akko and 21 km from Train Station Nahariyya, Galilee Gali provides air-conditioned accommodation with a balcony and free WiFi. The property is set 21 km from Gaaton River, 28 km from …Read more",414.0,9.4,9.6,9.5,9.7,
Netta's Place,"Dolev 18, Mitzpe Hila",Dolev 18,Mitzpe Hila,"Set in Mitzpe Hila, 28 km from The Bahá’í Gardens in Akko, Nettas Place offers accommodation with a garden, free private parking and a terrace. Boasting family rooms, this property also provides guests with a childrens playground. Every room …Read more",630.0,9.4,9.6,9.4,9.7,
Studio Apartment in heart of Amirim,"82 Mitzpeh Menakhem Street, Amirim",82 Mitzpeh Menakhem Street,Amirim,"Boasting mountain views, Studio Apartment in heart of Amirim offers accommodation with a terrace and a patio, around 39 km from The Bahá’í Gardens in Akko. The property has garden views and is 19 km from Artist Colony and 20 km from Mount Canaan.This …Read more",280.0,8.4,9.3,9.3,8.1,114.3
Europa Residence,"2 הפלמ""ח, Tiberias","2 הפלמ""ח",Tiberias,"Set in Tiberias in the North District Israel region and Tomb of Maimonides reachable within 600 metres, Europa Residence offers accommodation with free WiFi, BBQ facilities, a terrace and free private parking.The apartment provides guests with …Read more",1115.0,8.3,8.0,9.1,8.5,105.4
Unique crusader apartment in old Acre,"Salah & Bazri Street 11 125, Akko",Salah & Bazri Street 11 125,Akko,"Situated in Akko, just 1.7 km from Akko Beach, Unique crusader apartment in old Acre features beachfront accommodation with free WiFi. The property has inner courtyard views and is 25 km from Haifa’s Municipal Theater and 500 m from The Old City …Read more",644.0,9.0,9.1,9.5,9.0,
Custo Club,"Mishol Shoshan 2, Eilat",Mishol Shoshan 2,Eilat,"Featuring an outdoor pool, Guest House Villa Custo is located in Eilat. It features a pool terrace fitted with sun loungers.With free WiFi, the air-conditioned rooms come with a LCD TV with cable channels. Some have a balcony and a private bathroom …Read more",225.0,7.9,8.4,7.9,8.4,281.8
Santa maria Zimmer Bahai Gardens,"Ben Gurion 61, Haifa",Ben Gurion 61,Haifa,"Situated in Haifa, within 1.5 km of The Quiet Beach and 2.1 km of Bat Galim Beach, Santa maria Zimmer Bahai Gardens features accommodation with a garden and free WiFi throughout the property. The property is around 2.5 km from Haifa’s Municipal …Read more",472.0,8.8,8.7,9.6,9.1,84.7
Benjamin Business Hotel,"4 Hamada St, Herzelia ",4 Hamada St,Herzelia ,"Located in the heart of the commercial district of Herzelia, Benjamin Herzliya Business Hotel offers a  free Wi-Fi throughout the property and a restaurant with a terrace serving dairy meals. The beach is 1 km away, and there is a free gym on …Read more",962.0,7.2,8.8,9.3,9.2,
Silent Arrow,"Dereh Sfat Midbar 1, Mitzpe Ramon",Dereh Sfat Midbar 1,Mitzpe Ramon,"Located 15 minutes walk from the Makhtesh Ramon crater, 900 Meters above sea level, the eco-friendly Silent Arrow offers shared and private tents in the desert, 1.3 km from Mitzpe Ramon centre.This property does not have an electricity supply …Read more",350.0,8.3,8.2,8.9,8.5,163.2
A Pastoral B & B,"Derech Regavim 2, Givat Ada",Derech Regavim 2,Givat Ada,"Featuring a garden, a terrace, and a restaurant, A Pastoral B & B provides accommodation in Givat Ada with free WiFi and city views. Boasting a balcony, the bed and breakfast is in an area where guests can engage in activities such as hiking …Read more",419.0,6.7,8.8,9.3,9.2,54.7
Jerusalem Garden Home,"74 Derech Beit Lehem, Jerusalem",74 Derech Beit Lehem,Jerusalem,"Located in Jerusalem, 900 m from the German colony, Jerusalem Garden Home features a lush garden for guests to relax in, and an on-site kosher restaurant. Free Wi-Fi access is available.All accommodation units are air-conditioned and feature …Read more",432.0,8.3,8.6,9.2,8.2,53.8
Rothschild 79,"79 רוטשילד, Petaẖ Tiqwa",79 רוטשילד,Petah Tiqwa,"Rothschild 79 is situated in Petaẖ Tiqwa, within 10 km of The Cameri Theatre and 10 km of Yarkon Park. The property is set 10 km from Kikar Ha-Medina, 10 km from Tel Aviv Museum of Art and 10 km from Hashalom Train Station. The guest house also …Read more",342.0,7.4,8.8,9.3,9.2,
Urbanica Carmel- Apartments,"128 Moriah Avenue שדרות מוריה 128, Haifa",128 Moriah Avenue שדרות מוריה 128,Haifa,"Located in Haifa, 5.4 km from Haifa’s Municipal Theater and 27 km from The Bahá’í Gardens in Akko, Urbanica Carmel- Apartments provides accommodation with free WiFi and a terrace.Fitted with a patio, the units offer air conditioning and feature …Read more",485.0,8.9,8.7,9.0,9.2,84.7
נווה מדבר - אירוח מקומי,"5 בשור, Arad",5 בשור,Arad,"Located in Arad, 24 km from Massada, נווה מדבר - אירוח מקומי provides accommodation with a garden, free WiFi and a shared kitchen. Guests benefit from a balcony and a barbecue.This air-conditioned apartment comes with a seating area, a kitchen …Read more",220.0,8.4,8.9,8.4,8.4,100.0
Комфортная квартира в Кирьят - Ям,"4 Moshe Shapira Street, Qiryat Shemuel",4 Moshe Shapira Street,Qiryat Shemuel,"Комфортная квартира в Кирьят - Ям is a beachfront property located in Qiryat Shemuel, 700 m from Kiryat Haim Beach and 12 km from Haifa’s Municipal Theater. Both free WiFi and parking on-site are available at the apartment free of charge. The …Read more",360.0,8.7,8.8,9.3,9.2,
AMALON Boutique Apartments,"27 הרב שמואל ברוך, Jerusalem",27 הרב שמואל ברוך,Jerusalem,"AMALON Boutique Apartments features air-conditioned guest accommodation in Jerusalem, 3.7 km from Garden of Gethsemane, 3.7 km from Church of All Nations and 3.9 km from Dome of the Rock. There is a private entrance at the apartment for the convenience …Read more",627.0,8.4,8.5,9.3,8.6,53.8
Studio Apartment in heart of Amirim,"82 Mitzpeh Menakhem Street, Amirim",82 Mitzpeh Menakhem Street,Amirim,"Set in Amirim in the North District Israel region, Studio Apartment in heart of Amirim has a terrace and mountain views. With garden views, this accommodation offers a patio. The property is non-smoking and is located 39 km from The Bahá’í Gardens …Read more",280.0,8.4,9.3,9.3,8.1,114.3
Unique crusader apartment in old Acre,"Salah & Bazri Street 11 125, Akko",Salah & Bazri Street 11 125,Akko,"Situated in Akko, just 1.7 km from Akko Beach, Unique crusader apartment in old Acre features beachfront accommodation with free WiFi. This apartment is 500 m from The Old City of Akko and 12 km from Train Station Nahariyya.The air-conditioned …Read more",644.0,9.0,9.1,9.5,9.0,
תניא,"גרניט, Gilon",גרניט,Gilon,"Situated in Gilon, 18 km from The Bahá’í Gardens in Akko and 37 km from Haifa’s Municipal Theater, תניא features air-conditioned accommodation with a balcony and free WiFi. This sustainable apartment is located 18 km from The Old City of Akko …Read more",700.0,9.4,8.7,9.8,9.4,101.0
Rothschild 79,"79 רוטשילד, Petaẖ Tiqwa",79 רוטשילד,Petah Tiqwa,"Set 10 km from Kikar Ha-Medina, 10 km from Tel Aviv Museum of Art and 10 km from Hashalom Train Station, Rothschild 79 offers accommodation situated in Petaẖ Tiqwa. The property is located 10 km from The Cameri Theatre, 10 km from Yarkon Park …Read more",342.0,7.4,8.8,9.3,9.2,
Urbanica Carmel- Apartments,"128 Moriah Avenue שדרות מוריה 128, Haifa",128 Moriah Avenue שדרות מוריה 128,Haifa,"A recently renovated aparthotel in Haifa and within 5.4 km of Haifa’s Municipal Theater, Urbanica Carmel- Apartments features a terrace, comfortable soundproof rooms and free WiFi. With sea views, this accommodation provides a patio. When staying …Read more",410.0,8.9,8.7,9.0,9.2,84.7
Caravan Hostel Tel Aviv By Roger Age 18-45,"17B Aharon Chelouche Lane, Tel Aviv",17B Aharon Chelouche Lane,Tel Aviv,"Situated in Tel Aviv, Caravan Hostel Tel Aviv By Roger Age 18-45 has a garden, shared lounge, bar, and free WiFi throughout the property. The property is close to Jerusalem Beach, Independence Hall Museum and Suzanne Dellal Center for Dance and …Read more",372.0,7.8,7.9,8.8,7.8,0.0
Bab al-sham funduk,"עכו העתיקה 12/13, Akko",עכו העתיקה 12/13,Akko,"Bab al-sham funduk is a beachfront bed and breakfast in Akko, offering guests a sustainable accommodation with scenic sea views. There is a private entrance at the bed and breakfast for the convenience of those who stay. Boasting family rooms, …Read more",650.0,9.3,9.2,9.0,9.7,
Yamba יםבה באכזיב- פנטהאוז חדש ומפנק," 2 דוגית, Nahariyya", 2 דוגית,Nahariyya,"Located in Nahariyya, 1.1 km from HaDekel Beach and 1.3 km from Achziv Beach, Yamba יםבה באכזיב- פנטהאוז חדש ומפנק offers a terrace and air conditioning. This beachfront property offers access to free WiFi and free private parking. The property …Read more",1453.0,9.9,9.7,9.7,10.0,
עיינות ספיר - Einot Sapir,"35 אגט, Even Sappir",35 אגט,Even Sappir,"Located in Even Sappir, עיינות ספיר - Einot Sapir offers accommodation with a private pool. With mountain views, this accommodation provides a balcony.This air-conditioned 1-bedroom apartment comes with a seating area, a flat-screen TV and a …Read more",1049.0,9.0,8.4,9.5,9.1,
צימר מעל העננים,"עין קינייא רמת הגולן, Ein Kinya",עין קינייא רמת הגולן,Ein Kinya,"Set in Ein Kinya, 7.3 km from The Banias Waterfall and 3.9 km from Nimrod Fortress, צימר מעל העננים offers air conditioning. This property offers access to a balcony, free private parking and free WiFi. Hermon Stream Banias Nature Reserve is 5.9 …Read more",428.0,9.2,9.6,9.3,10.0,
Royal Dead Sea - Hotel & Spa,"Ein Bokek, Ein Bokek",Ein Bokek,Ein Bokek,"Royal Dead Sea - Hotel & Spa is located in Ein Bokek. The large wellness centre offers a heated indoor pool and a hot tub.The hotel’s spacious rooms are equipped with WiFi access, a TV and a minibar. Some feature a balcony with views of the …Read more",1060.0,6.3,8.8,9.3,9.2,112.4
Emanuel Boutique,"20 Azza Street, Jerusalem",20 Azza Street,Jerusalem,"Offering garden views, Emanuel Boutique is an accommodation located in Jerusalem, 2 km from Holyland Model of Jerusalem and 2.9 km from Western Wall. Among the facilities at this property are luggage storage space and a minimarket, along with …Read more",437.0,8.2,8.5,9.0,8.6,53.8
Addar Hotel,"10 St. Georges Street, Jerusalem",10 St. Georges Street,Jerusalem,"Renovated in June 2013, Addar Hotel has a great location, halfway between the modern centre and the old city in Jerusalem. This family-run boutique hotel offers free Wi-Fi access and a fitness room.The hotels original 19th-century building …Read more",315.0,6.6,8.8,9.3,9.2,53.8
הבית בואדי,"אלונים, Allonim",אלונים,Allonim,"Featuring garden views, הבית בואדי offers accommodation with a garden and a balcony, around 36 km from The Bahá’í Gardens in Akko. The air-conditioned accommodation is 22 km from Haifa’s Municipal Theater, and guests benefit from private parking …Read more",421.0,10.0,10.0,10.0,10.0,
Zini House,"עין זיוון, Ein Zivan",עין זיוון,Ein Zivan,"Situated 31 km from The Banias Waterfall, Zini House offers a garden, a terrace and accommodation with a balcony and free WiFi.Accommodation is fitted with air conditioning and features a flat-screen TV with satellite channels, a fully equipped …Read more",810.0,9.5,10.0,8.8,10.0,147.8
וילה שחר בגולן,"מגדל שמס, Masade",מגדל שמס,Masade,"Featuring garden views, וילה שחר בגולן provides accommodation with a terrace and a balcony, around 12 km from The Banias Waterfall. This apartment features a private pool, a garden, barbecue facilities, free WiFi and free private parking.The …Read more",3000.0,9.5,9.4,8.7,9.8,
The Turquoise House,"הסביונים 1, Poriyya Illit",הסביונים 1,Poriyya Illit,"Located in Poriyya Illit in the North District Israel region, The Turquoise House has a patio. The air-conditioned accommodation is 12 km from Marina, and guests can benefit from private parking available on site and free WiFi. The property is …Read more",315.0,9.7,10.0,9.6,10.0,
Mamilla Hotel,"11 King Solomon Street, Jerusalem",11 King Solomon Street,Jerusalem,"Mamilla Hotel is uniquely situated at the junction between Jerusalem of old and new, the perfect location for a luxury Jerusalem vacation.The hotel is situated alongside the Alrov Mamilla Avenue, Jerusalems new shopping experience, within walking …Read more",1656.0,8.6,7.7,9.6,9.1,53.8
Ephrem House,"Gush Halav, Jīsh",Gush Halav,Jish,"Ephrem House, a property with a garden and a restaurant, is located in Jīsh, 12 km from Artist Colony, 13 km from Mount Canaan, as well as 14 km from Israel Bible Museum. The air-conditioned accommodation is 49 km from The Bahá’í Gardens in Akko, …Read more",800.0,9.2,9.3,9.2,9.8,122.2
וילה מגנוליה,"מנות, Manot",מנות,Manot,"Situated in Manot, וילה מגנוליה features accommodation with rooftop pool, free WiFi and free private parking for guests who drive. The property has mountain and pool views, and is 23 km from The Bahá’í Gardens in Akko. Guests have access to a …Read more",1215.0,9.2,9.1,9.1,8.6,
Alegra Boutique Hotel,"Derech Hahachaiot 13 st. , Jerusalem",Derech Hahachaiot 13 st. ,Jerusalem,"Located in Ein Kerem village, Alegra Boutique Hotel is 200 m from the Church of the Visitation. It offers a sauna in its fruit orchard, and luxurious suites with exposed-stone walls.With Persian rugs and contemporary bathrooms, the suites at …Read more",998.0,9.0,8.2,9.4,9.1,53.8
The Magical Wadi Hosting,"Efroni St 21, Kefar Weradim",Efroni St 21,Kefar Weradim,"Offering a garden and quiet street view, The Magical Wadi Hosting is situated in Kefar Weradim, 21 km from Train Station Nahariyya and 22 km from Gaaton River. The property has garden and inner courtyard views, and is 31 km from The Bahá’í Gardens …Read more",450.0,8.8,9.0,9.1,9.4,
New Capitol Hotel,"17 Salah Eddin Street, Jerusalem",17 Salah Eddin Street,Jerusalem,"Located in Jerusalem and within 1.4 km of Garden of Gethsemane, New Capitol Hotel features a terrace, non-smoking rooms, and free WiFi. The property is around 4.5 km from Holyland Model of Jerusalem, 8.9 km from Rachels Tomb and 11 km from Manger …Read more",385.0,8.4,8.3,9.1,8.5,53.8
צימר בעמק,"שכונת הרחבה בית 2, Kefar Ruppin",שכונת הרחבה בית 2,Kefar Ruppin,"Located in Kefar Ruppin and only 43 km from Ajloun Castle, צימר בעמק provides accommodation with mountain views, free WiFi and free private parking. With garden views, this accommodation features a balcony.This air-conditioned lodge is equipped …Read more",600.0,9.0,9.4,9.1,9.4,
Jerusalem Hostel,"44 Jaffa Road, Jerusalem",44 Jaffa Road,Jerusalem,"Located next to Zion Square, Jerusalem Hostel is in the city centre just metres from Ben Yehuda pedestrian street. It offers free Wi-Fi and rooms with private bathroom.Hostel Jerusalem has excellent public transport links around Jerusalem. The …Read more",342.0,7.2,8.8,9.3,9.2,53.8
zimmer cigale,"MOCHAV ODEM, Odem",MOCHAV ODEM,Odem,"Situated in Odem, zimmer cigale offers a patio with mountain and pool views, as well as a seasonal outdoor pool, hot tub and spa facilities. This sustainable bed and breakfast is located 18 km from The Banias Waterfall and 16 km from Nimrod Fortress. …Read more",710.0,9.1,9.2,9.1,9.5,
Tur Sinai Organic Farm Resort,"Zeev Tur Sinai 1 Emek Haarazim, Jerusalem",Zeev Tur Sinai 1 Emek Haarazim,Jerusalem,"Overlooking Cedar Valley and the Mevaseret Mountains, the peaceful Tur Sinai resort is surrounded by organic orchards on the northern outskirts of Jerusalem. All air-conditioned rooms feature eco-friendly furnishings and a private balcony.With …Read more",726.0,8.8,8.4,8.8,8.9,53.8
The Yurt in Abirim,"Abirim, Abirim",Abirim,Abirim,"Located in Abirim in the North District Israel region, The Yurt in Abirim has a patio. The air-conditioned accommodation is 44 km from The Bahá’í Gardens in Akko, and guests can benefit from complimentary WiFi and private parking available on …Read more",750.0,9.7,9.9,9.5,9.9,116.8
